id,Regioviz_item,Theme,Name,Unit,id1,id2,Formula,Year,Data_source,Last_update,Methodology,Methodology.1,URL
REGIOVIZ,Regions,,,,,,,,,,Sélection de la région sur laquelle porte l'analyse,,
REVMEN,Indicateur,Structures sociales,Revenu disponible des ménages,Euros par ménage,REV,MEN,id1/id2,2014.0,"Eurostat 
(Table nama_10r_2hhinc)",2017-08-01,"Le revenu disponible équivalent correspond au revenu total d?un ménage, après impôt et autres d’éductions, disponible en vue d?être dépensé ou épargné, divisé par le nombre de membres du ménage converti en équivalents adultes. L’?équivalence entre les membres du ménage est obtenue par pondération en fonction de l’?âge, à partir de l?’échelle d’?équivalence « modifiée » de l’?OCDE.
Le revenu disponible équivalent est calculé en trois étapes.
1. D?abord, tous les revenus monétaires perçus par chaque membre du ménage, peu importe leur origine, sont additionnés. Il s?agit des revenus du travail et des placements et des prestations sociales, auxquels s’?ajoute tout autre revenu perçu par le ménage, tous nets d?’impôts et de cotisations sociales.
2. Ensuite, afin de prendre en compte les différences de taille et de composition des ménages, le revenu total (net) du ménage est divisé par le nombre d’?équivalents adultes au moyen d?’une échelle standard: l?’échelle modifiée de l?OCDE. Cette échelle assigne une pondération à tous les membres du ménage (dont l?’addition constitue la taille équivalente du ménage): 1 au premier adulte; 0,5 à chaque membre âgé de 14 ans et plus et 0,3 aux enfants de moins de 14 ans.
3. Enfin, le chiffre obtenu, appelé « revenu disponible équivalent », est distribué à parts égales entre chaque membre du ménage.
Aux fins des indicateurs de pauvreté, le revenu disponible équivalent est calculé à partir du revenu disponible total de chaque ménage divisé par la taille équivalente du ménage. La période de référence pour le revenu est une période fixe de 12 mois (année calendrier ou exercice fiscal précédent, par exemple). C?’est le cas pour tous les pays sauf pour le Royaume-Uni, qui prend comme période de référence l’?année en cours, et l?’Irlande, qui effectue cette enquête en continu à partir du revenu des douze mois écoulés.","Le revenu disponible équivalent correspond à la masse de revenu des ménages, après impôt et autres d’éductions, disponible en vue d'être dépensé ou épargné, divisé par le nombre de membres du ménage converti en équivalents adultes. L’équivalence entre les membres du ménage est obtenue par pondération en fonction de l’âge, à partir de l’échelle d’équivalence « modifiée » de l’OCDE. Cet indicateur n'est donc pas à confondre avec le revenu médian, indicateur fourni par l'INSEE qu'il est plus coutumier d'utiliser dans le contexte français. 
Le revenu disponible équivalent est calculé en trois étapes.
1. D'abord, tous les revenus monétaires perçus par chaque membre du ménage, peu importe leur origine, sont additionnés. Il s'agit des revenus du travail et des placements et des prestations sociales, auxquels s’ajoute tout autre revenu perçu par le ménage, tous nets d’impôts et de cotisations sociales.
2. Ensuite, afin de prendre en compte les différences de taille et de composition des ménages, le revenu total (net) du ménage est divisé par le nombre d’équivalents adultes au moyen d’une échelle standard : l’échelle modifiée de l'OCDE. Cette échelle assigne une pondération à tous les membres du ménage (dont l’addition constitue la taille équivalente du ménage) : 1 au premier adulte; 0,5 à chaque membre âgé de 14 ans et plus et 0,3 aux enfants de moins de 14 ans.
3. Enfin, le chiffre obtenu, appelé « revenu disponible équivalent », est distribué à parts égales entre chaque membre du ménage.
Aux fins des indicateurs de pauvreté, le revenu disponible équivalent est calculé à partir du revenu disponible total de chaque ménage divisé par la taille équivalente du ménage. La période de référence pour le revenu est une période fixe de 12 mois (année calendrier ou exercice fiscal précédent, par exemple). C’est le cas pour tous les pays sauf pour le Royaume-Uni, qui prend comme période de référence l’année en cours, et l’Irlande, qui effectue cette enquête en continu à partir du revenu des douze mois écoulés.",
CHOM1574,Indicateur,Structures sociales,Taux de chômage (15-74 ans),%,CHOM_1574,ACT_1574,id1/id2*100,2016.0,"Eurostat - Enquête sur les forces de travail
(Tables lfst_r_lfu3rt et tlfst_r_lfp2act) ",2017-09-14,"Conformément aux lignes directrices établies par l’Organisation internationale du travail, un chômeur est pour Eurostat: une personne âgée de 15 à 74 ans (16 à 74 en Italie, en Espagne, au Royaume-Uni, en Islande et en Norvège) ; sans travail durant la semaine de référence; disponible pour travailler au cours des deux semaines suivantes (ou ayant déjà trouvé un emploi devant débuter dans les trois mois suivants) ; qui était activement à la recherche d’un emploi au cours des quatre semaines précédentes.
Le taux de chômage correspond au pourcentage de chômeurs dans la population active.
","Le taux de chômage correspond au pourcentage de chômeurs dans la population active. 
Conformément aux lignes directrices établies par l’Organisation internationale du travail, un chômeur est pour Eurostat: une personne âgée de 15 à 74 ans (16 à 74 en Italie, en Espagne, au Royaume-Uni, en Islande et en Norvège) ; sans travail durant la semaine de référence; disponible pour travailler au cours des deux semaines suivantes (ou ayant déjà trouvé un emploi devant débuter dans les trois mois suivants) ; qui était activement à la recherche d’un emploi au cours des quatre semaines précédentes.",
CHOM1524,Indicateur,Structures sociales,Taux de chômage des jeunes,%,CHOM_1524,ACT_1524,id1/id2*100,2013.0,"Eurostat -  Enquête sur les forces de travail
(Tables lfst_r_lfu3rt et tlfst_r_lfp2act) ",2017-09-14,Le taux de chômage des jeunes est la part des individus de 15 à 24 ans sans emploi par rapport au total de la population active (occupant ou non un emploi) dans cette catégorie d’?âge. Une grande partie des individus de cette catégorie d?âge se trouvent en dehors du marché du travail (car beaucoup de jeunes mènent des études à temps plein). Cela explique le taux généralement plus élevé du chômage des jeunes par rapport au taux total de chômage ou au taux de chômage d?’autres catégories d’?âge. Pour cette raison,"Le taux de chômage des jeunes est la part des individus de 15 à 24 ans sans emploi par rapport au total de la population active (occupant ou non un emploi) dans cette catégorie d’âge. 
Contrairement aux personnes âgées, de nombreux jeunes suivent des études à temps plein et, par conséquent, ne travaillent pas et ne sont pas non plus à la recherche d’un emploi (de sorte qu’ils ne font pas partie de la population active, qui est utilisée comme dénominateur pour calculer le taux de chômage). La masse des actifs de 15 à 24 ans ne représente donc en aucun cas la masse de population âgée de 15 à 24 ans. ",
CHOMLONG,Indicateur,Structures sociales,Taux de chômage de longue durée,%,CHOM_LONG,ACT_LONG,id1/id2*100,2014.0,"Eurostat -  Enquête sur les forces de travail
(Table lfst_r_lfu2ltu) ",2017-09-14,"Le taux de chômage de longue durée est le pourcentage de personnes au chômage depuis au moins 12 mois dans la population active (la population économiquement active). Le taux de chômage est le pourcentage de chômeurs dans la population active (le nombre total de personnes occupées ou au chômage), sur la base de la définition de l'Organisation internationale du travail (OIT). Les chômeurs incluent les personnes âgées de 15 à 74 ans qui remplissent les trois conditions suivantes: - elles sont sans emploi pendant la semaine de référence; - elles sont disponibles pour commencer à travailler dans les deux semaines suivantes; - elles ont activement recherché un emploi pendant les quatre semaines précédentes ou ont trouvé un emploi à commencer dans les trois mois suivants.","Le taux de chômage de longue durée est le pourcentage de personnes au chômage depuis au moins 12 mois dans la population active (la population économiquement active).
Le taux de chômage est le pourcentage de chômeurs dans la population active (le nombre total de personnes occupées ou au chômage), sur la base de la définition de l'Organisation internationale du travail (OIT). Les chômeurs incluent les personnes âgées de 15 à 74 ans qui remplissent les trois conditions suivantes: - elles sont sans emploi pendant la semaine de référence; - elles sont disponibles pour commencer à travailler dans les deux semaines suivantes; - elles ont activement recherché un emploi pendant les quatre semaines précédentes ou ont trouvé un emploi à commencer dans les trois mois suivants.",
EMPPART,Indicateur,Structures sociales,Emploi à temps partiel,"Temps partiel / temps plein, %",EMP_PT,EMP_FT,id1/id2*100,2016.0,"Eurostat - Enquête sur les forces de travail
(Table lfst_r_lfe2eftpt)",2017-09-14,"L'emploi à temps partiel est défini comme la proportion entre l'emploi à temps partiel divisé et l'emploi à temps plein. On peut parler d'un indice d'asymétrie entre l'emploi à temps partiel et à temps plein. Ceci afin d'avoir des informations comparables d'un pays à l'autre (pour certains pays, un nombre important de ""non réponses"" a cette question est en effet à noter dans le questionnaire de la Labour Force Survey. 
La distinction entre un travail à temps plein et à temps partiel est généralement établie sur la base d?’une réponse spontanée de la personne interrogée. Les principales exceptions sont les Pays-Bas et l?’Islande, où un seuil de 35 heures est appliqué; la Suède, où un seuil est appliqué aux travailleurs indépendants; et la Norvège, où il est demandé aux personnes travaillant entre 32 et 36 heures s?il s?agit d’?un emploi à temps plein ou à temps partiel","L'emploi à temps partiel est défini ici comme la proportion entre l'emploi à temps partiel divisé et l'emploi à temps plein. On peut parler d'un indice d'asymétrie entre l'emploi à temps partiel et à temps plein. Ceci afin d'avoir des informations comparables d'un pays à l'autre (pour certains pays, un nombre important de ""non réponses"" a cette question est en effet à noter dans le questionnaire de la Labour Force Survey. 
La distinction entre un travail à temps plein et à temps partiel est généralement établie sur la base d’une réponse spontanée de la personne interrogée. Les principales exceptions sont les Pays-Bas, où un seuil de 35 heures est appliqué; et la Suède, où un seuil est appliqué aux travailleurs indépendants.",
CHOMFEM,Indicateur,Structures sociales,Taux de chômage. Inégalité hommes/femmes,Écart (points de %),CHOM_FEM,CHOM_MAL,not relevant,2015.0,"Eurostat -  Enquête sur les forces de travail
(Tables lfst_r_lfu3rt et tlfst_r_lfp2act) ",2017-09-14,"Écarts Femmes - Hommes en point de pourcentage sur l'indicateur du taux de chômage. 
Conformément aux lignes directrices établies par l?Organisation internationale du travail, un chômeur est pour Eurostat: une personne âgée de 15 à 74 ans (16 à 74 en Italie, en Espagne, au Royaume-Uni, en Islande et en Norvège);sans travail durant la semaine de référence; disponible pour travailler au cours des deux semaines suivantes (ou ayant déjà trouvé un emploi devant débuter dans les trois mois suivants); qui était activement à la recherche d?un emploi au cours des quatre semaines précédentes.
Le taux de chômage correspond au pourcentage de chômeurs dans la population active.","Écarts Femmes - Hommes en point de pourcentage sur l'indicateur du taux de chômage. 
Conformément aux lignes directrices établies par l'Organisation internationale du travail, un chômeur est pour Eurostat: une personne âgée de 15 à 74 ans (16 à 74 en Italie, en Espagne, au Royaume-Uni, en Islande et en Norvège); sans travail durant la semaine de référence; disponible pour travailler au cours des deux semaines suivantes (ou ayant déjà trouvé un emploi devant débuter dans les trois mois suivants); qui était activement à la recherche d'un emploi au cours des quatre semaines précédentes.
Le taux de chômage correspond au pourcentage de chômeurs dans la population active.",
EDUCSUP,Indicateur,Structures sociales,Adultes ayant un haut niveau d'éducation,%,ENSSUP_2564,Y25.64,id1/id2*100,2016.0,"Eurostat -  Enquête sur les forces de travail
(Tables edat_lfse_04 et demo_r_pjangrp3",2017-04-27,L’?indicateur relatif aux diplômés de l’?enseignement supérieur est défini comme le pourcentage de la population âgée de 25 à 64 ans ayant achevé avec succès des études de l?’enseignement supérieur (par exemple,L’indicateur relatif aux diplômés de l’enseignement supérieur est défini comme le pourcentage de la population âgée de 25 à 64 ans ayant achevé avec succès des études de l’enseignement supérieur (par exemple dans une université ou un institut supérieur technique). L’enseignement supérieur correspond aux niveaux 5 à 8 de la Classification Internationale Type de l'Éducation 2011 (CITE).,
1824NDIP,Indicateur,Structures sociales,Jeunes ayant quitté prématurément l'éducation et la formation,%,Y18.24_LEAV,Y18.24,id1/id2*100,2014.0,"Eurostat -  Enquête sur les forces de travail
(Tables edat_lfse_16 et demo_r_pjangroup) ",2017-04-27,L'indicateur des jeunes ayant quitté prématurément le système d’?éducation et de formation est défini comme étant la proportion de jeunes de 18 à 24 ans qui ont au maximum suivi le premier cycle de l?’enseignement secondaire (niveaux 0 à 2 de la CITE 2011 ) et qui ne suivaient ni études ni formation complémentaires (quatre semaines avant l’?enquête sur les forces de travail à partir de laquelle les données ont été compilées).,L'indicateur des jeunes ayant quitté prématurément le système d’éducation et de formation est défini comme étant la proportion de jeunes de 18 à 24 ans qui ont au maximum suivi le premier cycle de l’enseignement secondaire (niveaux 0 à 2 de la Classification Internationale Type de l'Éducation 2011) et qui ne suivaient ni études ni formation complémentaires quatre semaines avant l’enquête sur les forces de travail à partir de laquelle les données ont été compilées.,
PIBH,Indicateur,Structures économiques,PIB par habitant (en parité),Euros (SPA) par habitant,PIB,POP_PIB,id1/id2,2014.0,"Eurostat
(Table nama_10r_3gdp )",2017-03-30,Le produit intérieur brut (PIB) est une mesure de l'activité économique. Il est défini comme la valeur de tous les biens et services produits moins la valeur des biens et services utilisés pour leur création. Les chiffres de base sont exprimés en SPA,Le produit intérieur brut (PIB) est une mesure de l'activité économique. Il est défini comme la valeur de tous les biens et services produits moins la valeur des biens et services utilisés pour leur création. Les chiffres de base sont exprimés en SPA c'est-à-dire dans une monnaie commune qui élimine les différences de niveaux de prix entre les pays permettant des comparaisons significatives du PIB en volume entre les pays. Globalement  l'utilisation de séries exprimées en SPA plutôt qu'en euros tend à avoir un effet de nivellement étant donné que les régions ayant un PIB par habitant très élevé en euros affichent généralement aussi des niveaux de prix relativement élevés (par exemple le coût de la vie au centre de Paris ou de Londres est généralement plus élevé que le coût de la vie dans les régions rurales de Bulgarie ou de Roumanie).,
