id,level,REGIOVIZ,DENS,POP,AREA,ZEMP,BV,EPCI,AU,TAU,UU,OLD_REG,REG,STOCK1,STOCK2,ratio1,STOCK3,STOCK4,ratio2,name
001,AU,1,727.6198285256467,12405758,1704978,0,0,0,1,0,0,Île-de-France,Île-de-France,3916,8518,2.1751787538304392,156249,11337,13.782217517861868,Paris
002,AU,1,371.87561801281976,2237676,601727,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,3752,8312,2.215351812366738,140032,4162,33.6453628063431,Lyon
003,AU,1,544.9365756175118,1734277,318253,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,5667,8587,1.5152638080112935,138136,8390,16.464362336114423,Marseille - Aix-en-Provence
004,AU,1,238.16555007864983,1291517,542277,0,0,0,1,0,0,Midi-Pyrénées,Occitanie,4972,7167,1.4414722445695898,162505,3951,41.13009364717793,Toulouse
005,AU,1,1263.7468697269005,1175828,93043,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,2298,3486,1.516971279373368,125186,626,199.9776357827476,Lille (partie française)
006,AU,1,208.1007288519037,1178335,566233,0,0,0,1,0,0,Aquitaine,Nouvelle-Aquitaine,5534,2854,0.5157209974701843,153003,2085,73.38273381294964,Bordeaux
007,AU,1,387.2997641109449,1004826,259444,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,6166,8360,1.355822251054168,167305,9807,17.05975323748343,Nice
008,AU,1,280.12832621425486,919454,328226,0,0,0,1,0,0,Pays de la Loire,Pays de la Loire,3574,5798,1.6222719641857863,187030,11563,16.174868113811296,Nantes
009,AU,1,352.5025522295548,773447,219416,0,0,0,1,0,0,Alsace,Grand Est,1741,7055,4.052268811028145,141210,2555,55.268101761252446,Strasbourg (partie française)
010,AU,1,257.7616811511182,683950,265342,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,7156,8169,1.1415595304639463,111760,9797,11.407573747065427,Grenoble
011,AU,1,188.22497542000892,700675,372254,0,0,0,1,0,0,Pays de la Loire,Bretagne,2013,11611,5.768007948335817,132742,3164,41.95385587863464,Rennes
012,AU,1,283.28828712879783,660328,233094,0,0,0,1,0,0,Haute-Normandie,Normandie,2333,3351,1.4363480497213887,175281,11528,15.204805690492714,Rouen
013,AU,1,505.9551072712993,611978,120955,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,489,1311,2.6809815950920246,135225,9525,14.196850393700787,Toulon
014,AU,1,790.4586026469683,539322,68229,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,7662,6499,0.8482119551031062,101877,3093,32.937924345295826,Douai - Lens
015,AU,1,332.85134886713547,579401,174072,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,1026,7698,7.502923976608187,116781,8714,13.401537755336241,Montpellier
016,AU,1,249.36742921117246,518981,208119,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,5736,4422,0.7709205020920502,149486,9335,16.01349758971612,Avignon
017,AU,1,303.6610952639148,515240,169676,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,7841,8944,1.1406708328019386,167473,2289,73.16426387068589,Saint-Étienne
018,AU,1,152.491092060192,487023,319378,0,0,0,1,0,0,Centre,Centre-Val de Loire,277,5444,19.653429602888085,158870,8336,19.058301343570058,Tours
019,AU,1,195.2148034408176,472943,242268,0,0,0,1,0,0,Auvergne,Auvergne-Rhône-Alpes,5931,10054,1.695161018378014,164912,5470,30.148446069469834,Clermont-Ferrand
020,AU,1,181.6910159529807,432788,238200,0,0,0,1,0,0,Lorraine,Grand Est,3425,8855,2.5854014598540145,157838,2309,68.35773061931572,Nancy
021,AU,1,140.18772734149405,426252,304058,0,0,0,1,0,0,Centre,Centre-Val de Loire,4919,7135,1.450498068713153,110859,6221,17.82012538177142,Orléans
022,AU,1,228.95300590808642,406126,177384,0,0,0,1,0,0,Basse-Normandie,Normandie,1601,7734,4.830730793254216,186893,11172,16.728696741854638,Caen
023,AU,1,214.40480949275212,407635,190124,0,0,0,1,0,0,Pays de la Loire,Pays de la Loire,1255,10756,8.570517928286852,165420,5636,29.350603264726757,Angers
024,AU,1,242.73805447470815,389898,160625,0,0,0,1,0,0,Lorraine,Grand Est,2531,10726,4.237850651916238,129546,10283,12.598074491879801,Metz
025,AU,1,113.61757947547233,380236,334663,0,0,0,1,0,0,Bourgogne,Bourgogne-Franche-Comté,3355,10337,3.0810730253353205,130433,1741,74.91843767949455,Dijon
026,AU,1,570.158966254532,367992,64542,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,2390,7168,2.999163179916318,154175,776,198.6791237113402,Valenciennes (partie française)
027,AU,1,414.5590906033498,369795,89202,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,5297,4216,0.7959222201245988,96991,9840,9.856808943089431,Béthune
028,AU,1,172.90382428631276,346686,200508,0,0,0,1,0,0,Centre,Pays de la Loire,372,6212,16.698924731182796,160912,11547,13.935394474755348,Le Mans
029,AU,1,134.95089372573236,319059,236426,0,0,0,1,0,0,Champagne-Ardenne,Grand Est,7673,2892,0.3769060341457057,123209,7403,16.643117655004726,Reims
030,AU,1,315.411105898324,315982,100181,0,0,0,1,0,0,Bretagne,Bretagne,1223,8865,7.248569092395748,186652,10719,17.413191529060548,Brest
031,AU,1,305.87163294741356,313861,102612,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,199,3977,19.984924623115578,187806,6153,30.522671867381764,Perpignan
032,AU,1,414.1196795979268,290037,70037,0,0,0,1,0,0,Haute-Normandie,Normandie,5158,9227,1.7888716556804962,179869,6223,28.90390486903423,Le Havre
033,AU,1,137.82867034715073,294595,213740,0,0,0,1,0,0,Picardie,Hauts-de-France,147,7010,47.68707482993197,174753,10620,16.45508474576271,Amiens
034,AU,1,594.5772001577843,286390,48167,0,0,0,1,0,0,Alsace,Grand Est,4551,3761,0.8264117776312898,117616,9272,12.685073339085418,Mulhouse
035,AU,1,121.71680685277879,283050,232548,0,0,0,1,0,0,Limousin,Nouvelle-Aquitaine,2476,10614,4.286752827140549,134812,10972,12.286912139992708,Limoges
036,AU,1,229.4176453918574,291443,127036,0,0,0,1,0,0,Aquitaine,Nouvelle-Aquitaine,1601,11374,7.104309806371018,178580,3531,50.574907958085525,Bayonne (partie française)
037,AU,1,256.8182595900489,300200,116892,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,4307,8915,2.0698862317158113,159312,11240,14.173665480427045,Genève (SUI) - Annemasse (partie française)
038,AU,1,339.79052751142456,257269,75714,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,5788,2949,0.5095024187975121,100135,6821,14.680398768509017,Dunkerque
039,AU,1,110.85479109655454,257233,232045,0,0,0,1,0,0,Poitou-Charentes,Nouvelle-Aquitaine,3483,5341,1.5334481768590296,161358,12003,13.4431392151962,Poitiers
040,AU,1,339.53043812945026,264647,77945,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,4645,2450,0.527448869752422,122083,535,228.192523364486,Nîmes
